Column1;Column2;Column3
Dewi Yoestiana;5 years ago;The best zoo and zoo museum you can visit ever in Batu, East Java, Indonesia! You can learn while having fun and explore knowledge about animals.. And many more. A new concept of zoo, clean and modern, feel like you are travelling around …
Riswandi Koedrat;a year ago;Nothing really special about the rides, but the zoo is really interesting with some of the lesser animals like Komodo Dragons being part of the animals collection. …
TOMMY SALAMI;a year ago;A very large zoo with a plethora of different animals and species's and even a large amount of different flora that make up a entirely different sector of the zoo.the last time I came here I got lost in how large the zoo was I eventually …
writing in spirit;5 years ago;We went here as a part of day 2 of our end of year and farewell retreat. We were kind of disappointed that we were brough to a zoo, at first, but when we got there and actually started exploring the park, we were more than thrilled to be …
I Gusti Ayu Azarine Kyla Arinta;5 years ago;Incredible place to spend for traveler! It’s especially great for family because on top of the animal collections, there are many other attractions from Haunted House, mini roller coasters, electronic bike, etc. There are many foods and drinks options too inside the zoo. Definitely recommend this for anyone who visits Batu
Yuli Capriyanti;4 years ago;This place has a very large collection of animals. animals are placed according to their type. In addition to observing animals from outside the cage, we can also interact directly with several animals via the safari train facility …
Asty Kusuma;4 years ago;Visiting Batu Secret Zoo for the second time. And feel amazed because there’re so many new spot open. They really improve a lot. We were really enjoy our time there. But I think they have to paid attention to the toilet/rest room. Because …
Rimon Siga;4 months ago;Several areas and facilities need to be improved. Animals seem so stressed specifically about wild animals, such as lions, hyenas, and tigers.
krisnasekar puteri;3 years ago;During the pandemic, this favorite spot in Batu really concerns on health and hygiene protocol. You can still enjoy every site at Jawa Timur Park 2 and don't need to worry, the staff are always ready to help and guide you. Jawa Timur Park …
Cie Wie;8 months ago;Nice place for family, alot place to see, I think you need 2days for completely explore this place
Endang Rinasih Pakso Wati;6 years ago;This place is very nice place, I always enjoy visiting it, today was my 3rd visit in the past 6 years. However, if I compare it now with the first time I visited this place 4 years ago it has some parts which are not well maintained …
Fuad Muzaki;2 months ago;An awesome experience, suitable for family and kids.
McYoung TraVlog;11 months ago;The best experience with nature and animals, good vibes, fresh air & relaxing with our family ❤️
Grant Senjaya;5 years ago;"Love it! My kids love it! Even my parents love it!

This is a very well managed zoo, healthy and happy animals, great facilites, …"
Hendry Wiranto;a year ago;"Good place to see animals, the animals look maintained and taken care well
I went when there is a lot of people, so it's not very enjoyable but still okay
They have lions, tigers, and other big animals too"
Yildiz de Leeuw;6 years ago;This park is quite big. We arrived around 10 and only paid a visit to the zoo. It was amazingly clean, and most important: the animals looked well taken care of. We had a great day here and the kids loved it. We would love to come back and see the rest of the park.
Pauline Ang;6 years ago;Considering that this Jatim Park 2 is connected to the Batu Secret Zoo, therefore you still can see the animals here and there. They have arranged the zone really well planned to keep your interest. …
Irving Kosasih;6 years ago;Very good place to visit when you go to Batu, Malang. This place is very big. If you feel tired, you can rent a scooter inside each arena. There's also a hotel in here and shuttle train to pick you from one arena to others
Geetha Geetha;3 years ago;This is my fifth time to come here with family. We always enjoy to spend our holiday here. There are museum satwa, theme park, zoo, and water park as well. Very huge and clean. 👍🏽👍🏽 …
Rendy Fajar;4 years ago;In my experience, this is a special zoo in Indonesia. The animal's collection quite a lot. U can interact with the animal by feeding and take a picture with them. …
Reza Pratama;2 years ago;really AWESOME !!! It's true that you dont have to go abroad to enjoy such a world class amusement. Didnt take so many picture from there though, but its truely amazing. Dont hesitate to rent e-bike for 150k/3hrs in order to save your energy otherwise you have to walk a really long way
Kamil Ida;a year ago;Another huge area to explore beside Jatim Park 1. Make sure you visit it when travelling to Batu. Wear your comfortable clothes including footware to make the visit memorable and fun even though the long walk can be tiring. The highlight of …
Nabila Kalfisara;5 years ago;"Recommended place to visit with your family on holiday season~
It has some play game, secret zoo and eco green park. We can have fun there and feel the nature of Malang. Maybe, we really need tk come on it's open hour …"
Riah Yunindawati;5 years ago;The best zoo in Indonesia. It's clean and tidy. The animals are well treated.  There's playground for kids. And you can ride camel or ATV with cheap price.
catharina rumawas;5 years ago;Fair enough, but not recommended for elderly with wheel chairs & cane. The distance from entrance until end is too far for them. Not to mention the road is ups and downs and with stones and slippery.
Joshua Prasetya Nugraha;6 years ago;What an awesome park and zoo. Many kind of animals including some of rare animals. Nice and wide cage for each animals and they are not look like stressed. The place is also clean and tight.
Aripin 7th;5 years ago;Must try safary tour...buy food for feeding the animals directly. One bottle carrot = 10.000 rupiah. Better buy two because inside a lot of cute animal waiting you give them the carrot. Its fun
Irwan Barlett Siburian;10 months ago;Buy tickets directly where there are no queues. The atmosphere is not too crowded, maybe because it's still covid. Tickets can also be bought at Traveloka and exchanged for vouchers at the cashier. …
Anindita Larasati (Anindita);8 months ago;the place is so huge so if you want to enjoy it to the fullest you need to spend a whole day here
The Sulistiawan's;5 years ago;At this Park we visited Secret Zoo and Museum satwa. Very nice places. Bcoz it's contains with Different kind of animals that zoo usually has. For museum Satwa, all death animals were dried up and showed inside the glass boxes. From Africa and almost around the world.  Kids absolutely loves it.
Mohamed Salleh Hussain;5 years ago;I love this place for its openess. There is the Secret Zoo and the Satwa Museum next to it. The openess of the zoo allows you to see all the animals within close proximity and you're able to really learn about the animals far better. You're …
Laga CRASH;6 months ago;This is my first time visiting this place, and I was astonished by the view. I would like to visit again in the future.
Fel;6 years ago;It is a pleasant trip to go thru the zoo and museum. All items in museum are very well made and interesting. The price paid is really worth all the things they put inside zoo and museum. There are a lot of unique animals too within zoo.
Paramita Tjahjadi;5 years ago;The place is really good for the whole family. From the elder to children, especially for those who likes to see animals and scenery. Prepare for a long walk though. Theres a lot of seatings available, but the place is too big for just 2 hour visit
yoga indragiri;5 years ago;"Best zoo in Indonesia. Complete, healthy animal collection. Exhibit close to natural environment. Wide variety of animal around the world.
Petting zoo and feeding zone available.
Child friendly."
Revi Pragantha;a year ago;Nice family educational/ outings to see various rare animals around d world.. social distance is needed this time around since theres so many visitors, families, tourists n students which have different agenda. Small students just running …
rizcy hp;6 years ago;This place has fresh air because the location is in Batu. Batu Secret zoo is a nice place to go with your friends and family. There are many kinds of animals. This place is good for education about animals life. the place is clean and has a …
Immanuel Sianturi;6 years ago;Batu Secret Zoo is one of the best place for you to spend time with your family. Various animals collection, nice path and facility. You can find so many wild animal and reptiles. Unfortunately, this place is not a children friendly as there is no un-smooking area. People can smoke everywhere within the park.
Anggi Fellyana;4 years ago;Entertaining and educate us about animals. There’s 2 place here. The first is batu secret zoo, the zoo is so clean, you can see the animals closely. Batu secret zoo also has so manu rides for kids and adults, you can enjoy it. After a half …
Antony Gunarian;4 years ago;Some of the better zoo I've been to. It doesn't smell, cages are clean, animals seems to be taken care of quite well. Went on a busy day, and is not recomended on a busy day, everything is crowded. Foods and drinks inside are reasonably priced.
Abraham Handayani;a year ago;"clean, attractive, with many entertaining stuff & friendly staff..
east java best amusment park for a reason."
Ardian Nugroho;6 years ago;Not only a good place to hangout, but this place is indeed a great place to gain knowledge about animals kingdom. There are a lot of animals shown in the museum in wonderful ways. They are put in the diorama just like their habitat.  One day is never enough.
MJ;4 years ago;The best zoo Indonesia ever had and I hope the management will keep improving what they had today. The animals are well cared, the area is clean, a lot of staffs to help and give you direction. Prepare your stamina because now they open …
Puty Puar (byputy);6 years ago;Perfect for children getaway. This zoo has wide range of animals, nice aquarium, and attraction. This is a one stop amusement park where kinds can spend a whole day and still want more. The admission ticket is only 120.000 (+-10 USD). …
Satrio Prianda;2 months ago;Amazing place to spend with family , my lil daughter enjoy strolling around, seeing all animals see never encountered before, part to improve just the available food tenants within the zoo area need to be better , other than that... all good
Sentra Yoga;a year ago;They’re successfully set a new higher standart for local tourist attraction. Congrats!
Dwi Sukma Saputra;4 years ago;Well..... For not being over on making a review, i would say the place is a good weekend getaway. Mostly suitable for biug family visit, young couple, or just hanging around with your peers. …
Neko Meow;3 years ago;First visit to Jawa Timur Park 2 after a Covid19 pandemic that headed toward the New Normal. JTP2 implements a good health protocol, at the entrance visitor must pass through temperature checks, spraying disinfectants that are safe for …
Muhammad Arifin;4 years ago;"If You buy Jatim Park 2's ticket, You can use it for 3 places. One of them is Batu Secret Zoo.
Very recommended places to visit, with natural environment, education of zoo's …"
Andi Winata;5 years ago;Well I must say this place is a good place to spend your holiday with your family and friends. You can bring your children to educate them about animals. You'll see a lot of animals that maintained professionally. It looks from the size of its animals, the zookeeper feed them on a good schedule. In public holiday this place is crowd.
jessica lohanda;7 years ago;"The best zoo in Indonesia!!
Felt like real-life Zootopia land. They have a complete range of animals, homed in a well-decorated cage. I hope the animals and the whole ecosystem could be maintained as great in a long run."
Ramadion Syam;5 years ago;Great value for money. It has a couple of sections, each needs tickets to get in. But, 1 or 2 sections are actually enough to entertain the family for the whole day. …
She Ira;6 years ago;Having fun, learning more about our environment, and doing some exercise too.  Prepare yourself from morning to noon, it won't be a short trip, especially on weekends and if your kids spend time in mini waterpark, going to museum, or other …
Rocky Joseph Pesik;2 years ago;I've been to zoos in many countries and this zoo is the best! A must visit if you are around. …
Adinda Dwi;5 months ago;The best place for a date or quality time with your family!! Can't wait next month to see the red panda. I really hope the staff there can manage this zoo for a long time and protect the animals there.
Clara FM;3 years ago;The facilities were clean and adequate. Most of the facilities were well maintained. There were toilet, food court, prayer room, souvenir shop, and a spacious parking lot.  The place has appealing design. There were many interesting photo …
Dimas Maulana;4 years ago;It is my first time here. I have to admit that this place is suitable for outdoor people because it requires much walking and moving. I saw many elders are using e-bike which they already provided. This place is divided into three section: …
afrani syahid;6 years ago;Great place for learning about animals in a fun way. But the route is too long and there are not many bences or chairs for the visitors to take a rest or enjoying their lunch.
Yosep Krisnawan Adi Nugroho;5 years ago;It is a very nice place to visit, also a very educative place for children. They have interactive and attractive zoo, small pool for kids and theme park, and it is worth for Rp 120.000 (add Rp 30.000 more and you can also enjoy Eco Park). …
Pia A;7 years ago;Got to learn and see first hand the different kinds of animals from all over the world. It is also heart warming to see them being taken care of very well. It is such an interesting and amazing place to visit for all ages. Comfy sandals or shoes are highly recommended for the long walk.
Kalden Kowalski;2 years ago;Great place to get to knows various kinds of fauna. some locations we can have experience for direct interaction with animals. Get a good price if you stay at the hotel at the same time
Riris Hartanti;5 years ago;Lots of fun...kids are enthusiastic to know more about the animals showed at the museum, also the zoo. And they are more excited to find the swimming pool and the amusement park for free...yes, for FREE...Great👍 …
daril Rahmatullah;4 years ago;you should experience the museum! the design was amazing.. dark, with yellow downlight and deepblue almost violet light.. …
Yordan Kristianto;a year ago;Quite good zoo with many types of animals in the area. The zoo is big enough and have some food courts. There are also some playing ground in here, when you visit Batu or Malang with children, this place is really recommended.
eliezha elz;5 years ago;Great place to hangout with family, especially with kids, many animal to see, with some good information board and  animal guessed games. There was kids waterpark too, and animal museum. Unfortunately, there were some empty cages without …
Alfa X;4 years ago;Has many places to visit here in Jawa Timur Park 2. This place's theme is Eco-Friendly and Animal Conservation, so you can see the Eco Green Park near there and it'll take few minutes from there to Jawa Timur Park 2.
Jovina Maulida Annisa;3 years ago;SOOOO HUGE. I walk for 6 hourse and there are still places undiscovered. Spend a day off here with amazing experiences, animals that I found nowhere but here. Got the chance to feed animals directly due to few visitors during pandemic. Lovely!
Globe in the Hat;6 years ago;Amazing education zoo in Indonesia! Great for family picnic, I like in every zone especially in Safari Farm, you can feeding animal with your hand, so fun! …
Taufiq Firmansyah;4 years ago;Great place to spend your holidays with family, better to buy separate ticket and come as early as you can. A lot of spot to explore. A lot of games and playground are free, children will love this place.
Adipati Julian Sutisnawinata;5 years ago;I love it! One of the best zoo in Indonesia. There's so much to see, and do for the whole family! …
Triyas Kusumawardhani;6 years ago;Nice place to hang out and play with parents n children,  but when it peak season it should have to limit the visitor..  Beacause when it comes to peak season you won't enjoy n the animal would be hiding because of crowd.. …
tambun huala;5 years ago;Lots of kind of animals not only originally from Indonesia but also from around the world. It is Very good  park for student to study. Many students guided by their teachers visit this park. It is facilitated with rental electric bike to …
Nsie Ncie;7 years ago;"Spectaculer!!!!
U think it's done yet it is not! There is always another surprise for u. Had a great time there. It is better if you have 1 full day to visit this place so u …"
Bryan R;a year ago;Good place for famy vacation and also for me one best zoo in Indonesia.
dr Muzakir;6 years ago;"Rational ticket price ... clean and suitable for family holidays.
Variety of animals is great for education and holiday time in ""batu secret zoo"", children's playground in ""fantasy land and adventure area"" and for those who …"
Aufa Bassam;5 months ago;Visiting here with my family, this place is my daughter personal favorite. My family always enjoy going to jatim park 2 cause of the price for value, and we can enjoy theme park after sightseeing the animals. Hope they have more animals from antartica tho!
hardian suprapto;4 years ago;"Reasonable price with fantastic facilities. It is an excellent place for a family vacation. It is a long walk inside the facility, but it is worthwhile.
All the rides inside the facilities are free, except for the e-bike."
Hugo CANTONA;5 years ago;The place is huge. You will spend for about 3 hours to explore it. Jatim Park 2 is consist of Museum of animal, zoo and eco farm. Best place to visit expecially for children.
Chandra Imam Arianto;4 years ago;Coolest Zoo in Indonesia IMHO. At here I can see directly the Black Panther. It's sooo big black cat. Awesome. They way they introduce the wildlife animal with its cartoon-version comparison is so informative e.g. Lemur from King Julian …
Andhika Yusuf;6 years ago;there's 3 main place here, batu secret zoo, eco park and museum hewan, it takes about 3 hour to visit all the place, and there's also a shuttle between the secret zoo and the eco park, and it's better to also prepare for rain.
I Jaya;5 years ago;Various of wonderful animals, play grounds and many more. Very good place to bring your family for refreshing specially to your kids (better bring kids with age 5 years old min. to play the games inside).
Ricardo Gunawan;5 years ago;It's actually just a zoo, but it has iconic places and many animals to get a photo with. It also contains different animals all around the world! From monkeys to snakes, fishes to insects, you can see it all around this place! It's …
Tirta Yansen;6 years ago;It was 10th of Jan '18 when we visited this place and i have to say its probably going to be one of the best moments for me this year. JATIM Park 2 offers you with a lot of great place, not just for sightseeing but also to study and learn …
Maria Adelia Samantha;3 years ago;Very large and very comfortable! Small food and drink stans in every short walk, a number of benches, lots of games (free and pay), quite big parking lot. Thank you!
Rahmah Chemist;6 years ago;This is one of the large park in East Java, Batu-Malang. To reach this place, we have to prepare our healthy, money and also mineral water supply. Because this are is too large for having it all. …
Lamdos Manase;6 years ago;You must get 1 full day from morning opening gate to see all the indonesian and international animals because the zoo and museum has a great design concept for people to see all the animals and you will not boring and its worth it
Fivin Hariyanto;5 years ago;Great place to learn about all animal, but when it's long wekend like me going there ( 21-23 des ) so many people and for me going there with child 26months it's so difficult to walk and bring a stroller to go in. Anf we stayed at pohon inn hoyel beside jatimpark2
Joni Wang;5 years ago;The zoo area is very wide, with wide variety of animals. It's a great place to bring family for outing, even good for young kids to learn more about animals and creation.
Rendy Ji;6 years ago;"Recommended!
Family Friendly!
Located inside Jawa Timur Park 2
Weekend Price 120k IDR include museum entry."
Maulina Andhini;4 years ago;This place was amazing 😆 i love being here. You could spent a day just for playing here. So many attraction in here. So worth it to visit here with the price for one ticket. Bring your kids here and it so cool. I come here with my spouse and not disappointed at all. So many animals and attraction again good 👍 …
Arjono Pta;5 years ago;Beautiful and amazing park this is world class amusement park level so Indonesia must be proud about this and one day trip is not enough so many spot and thinks to see and learn
mu'ammar itqon;6 years ago;Nice place to explore Batu City near Malang. In Secret Zoo we can see animal from tropical like tiger, mongkey elephant, bird etc. We can also interact with the animal like feeding also take picture together. In Batu Secret Zoo there also Amusemrnt Park like Savana trip, carousel swimming pool etc.
Ghefira Nashita;4 years ago;Clean, a lot of animals to see (zoo), very cheap for this large area and there is theme park too (didnt know that). There is water park too. The employees here are really nice. The only thing they need is good food, sorry. Beside that, i love this place, i'd go here again.
Piter Halim;5 years ago;They have probably the best zoo in Indonesia. Actually this place not only consist of zoo but many other interesting places like Animal Museum, Pohon Inn hotel, etc. but its the zoo that shines out of this place. Got many wild animals here, …
Ria Indria;6 years ago;Like this place so much. the place that give many entertainment for the visitor, who kids & adult can play and enjoy together. We can see many animals & the simple drama.
Michael Soleiman;6 years ago;A good place for the next generation to learn more about transportation history at Museum Transportation, Learn about endangered animal at Batu Secret Zoo and also about extinct animal at Museum Satwa.
121A;5 years ago;A good place to give education for our kids and a correct destination for long holiday. Really appreciate for availability track for person who use wheel chair. …
Henry Jaya;a year ago;It was good, and definitely recommend you to rent an e-bike it was fun
Red Mickey;3 years ago;We went here on 2017 , though isnt new review but it was fun since all three arena are require many hours and we start from 11.30 am until 6.30 pm. Love the birds part. We can interact with them.
Andry Prayitno;4 years ago;"I thought that TSI is the best family Zoo in Indonesia before i found Batu Secret Zoo yesterday.
They have large variety of animals and they manage the animal cage in very …"
hana christina;a year ago;Nice place to go especially if you are travelling with your family, kids. The zoo is really entertaining with variety of animals, theme, and also providing e-bike if you are too tired to walk around the zoo. Pretty much variety of food too. You won't be bored here. The toilets are located in many areas too. Nice.
Komariah Berman;10 months ago;Memorable place with my fam 2014 we come here 2023
Dini Haiti Zulfany;6 years ago;If you wanna teach your kids or your students about various kinds of animals and insects in a fun way, Jatim Park 2 (Batu Secret Zoo + Museum Satwa) is the right place to go. Siapin alas kaki yg nyaman buat dipake jalan, karena Batu Secret …
Agung Sabarkah Bangkit Pribadi;5 years ago;Good place for who need recreation. There is many kind of animal. It's good place for bring your kids and teach them the name of many kind of animal. But i forgot how the price.
Cindy;7 years ago;Lots of things to see here. The place is well maintained. Hope that the museum would provide more learning and explanation of its objects' history.
Fredy Setiawan;5 years ago;Batu Secret Zoo is awosome zoo in Batu Malang City. You can get the fresh and cold air while you visiting clean and family friendly zoo. The animals are easy to see and to interact with. One thing to remember you have to prepare your physic …
Angeline Amaya;6 years ago;You can feed lion here, and the museum displays a lot of dioramas made from real animals. Inside the zoo, there is a small theme park. Eco park has a lot of bird varieties.
Samson Silalahi;4 months ago;Batu Jatim park 2 is a good place for families to spend their holidays. It shows  a large collections of animals around the world.
Irene Andriani;5 years ago;"This is our favourite place too.
The picts were our photos on seconds visits.
So we don't take to many animal picts. …"
Yuniar uni;4 years ago;"The place itself is just great, the animals are very active.
But it was too crowded since its already christmas/school holiday when we come. And it was raining too, we got a little wet. …"
a kurniawan;4 years ago;Nice place. There're so many kind of animals. Modern zoo type. Ticket Rp.100.000/person. …
Winston Oliver;7 years ago;Very large places to explore, there're so many variety animal that kids will enjoy, also the park with train,swimming pool, bom2 car etc, so many that kids and adult can play
Laily Cahyani;4 years ago;I think this zoo is very amazing. The place is very clean, large parking lot, and a lot of public facilities, such as toilet and cafetaria.  However the ticket is a little bit expensive. But worth to visit.
Madya Buana;a year ago;Museum Satwa Jatim Park 2 is a museum that displays various kinds of preserved animals from different parts of the world. It is located in Batu, Malang, East Java, Indonesia, and is part of Jatim Park 2, which also includes Batu Secret Zoo …
Antonius Yudhianto;6 years ago;A place that we can see many animal and study about science. Also place for pleasure with family. Great facility and clean place. We can see 3 place in there, eco green park, batu secret zoo and musium animal.
Glenn Main-Main;7 years ago;One of the most spectacular destination in Batu, Jawa Timur. Many rare animals that I haven't see it before (like something looks like Illama, Otter, Luwak, etc.). The air is cool and quite cozy. Always crowded in the holiday season.
DodyS Setiawan;5 years ago;The location of Jatim Park 2 consists of Batu Secret Zoo, Animal Museum and Tree Inn (hotel). Entrance ticket to East Java 2 is only 50 thousand for the weekend can enter Batu Secret Zoo and Animal Museum, there are also tickets for Jatim …
kanti wisnuwardhani;6 years ago;Batu Secret Zoo and Museum Satwa were awesome. Very modern, clean with realistic display. It's one stop entertainment place for family.
Ian Christian;a year ago;Good place to have fun. There's zoo, amusement Park & museum
Karel Noel Sitanggang;4 years ago;Must go here if you go to malang, nice place to go with family, it's cheap cause you can get many things inside there like there are many animals, all species land, water, and sky. There are many games like bom bom car, haunted house, etc. …
Fajar Dwi Satyo;6 years ago;Pohon Inn Hotel, Museum Satwa and Batu Secret Zoo is a great combination of a holiday getaway. All in one place. I recommend to get the hotel reservations first, before any other reservations, including plane ticket!
nur aza;a year ago;In the front of the gate you will see the museum animals, inside of the park you can find many animals like elephants, fishes, etc also there is a bycicle rental so you don't get tired of walking
YH Soe;6 years ago;Its educative and fun..but the play ground is less than I thought. For that price is lil bit expensive cz most people will not be able to do more than first part, jatim park 2. They will feel exhausted to do the second part like the museum or eco green park. Well, overall its good.
Zaeni Zaeni;5 years ago;"Good place for your family.
Prepare your foot. Discount 20% available in  website. Check it to get cheaper price. Its Rp 120K in Weekend and Holiday. If you get promo,  you will served …"
Bang Joker;a year ago;"Great!! Many animal from all around the world, Kid's playground and animal attraction.
Got many new animals like Bekantan, bear, etc"
Nurhanisah Noh;5 years ago;Very interactive, big and cool zoo! So many places we can go and affordable! A lot of things you may try here - there's a lot of games that are free!
